ID,Latitude,Longitude,Ellipsoid_hight,Northing,Easting,ADH_Hight,CRS
1374909,-31.9944561,115.88379326,-20.306,6459634.581,394559.016,12.015,GDA2020
1376126,-31.99436297,115.88399576,-19.979,6459645.103,394578.04,12.341,GDA2020
1373195,-31.99450234,115.88412047,-20.42,6459629.776,394589.981,11.899,GDA2020
1374833,-31.9943333,115.88383349,-19.921,6459648.234,394562.677,12.401,GDA2020
1374953,-31.9944158,115.88392331,-20.136,6459639.176,394571.256,12.185,GDA2020
