GPST,Sequence,latitude(deg),longitude(deg),height(m),Q,ns,sdn(m),sde(m),sdu(m),sdne(m),sdeu(m),sdun(m),age(s),ratio
2023-02-14 07:23:52.164707,1.0,-31.995115058231207,115.88348894394474,54.857817636352,1.0,10.0,0.0041,0.0038,0.0146,-0.001,0.0011,0.0047,0.164707072,6.447060608
2023-02-14 07:23:54.635126,2.0,-31.995054380622182,115.883584317146,54.789793867904,1.0,10.0,0.0041,0.0038,0.014717563008,-0.001,0.001117563008,0.0047,0.635126016,5.6121849600000004
2023-02-14 07:23:57.151581,3.0,-31.994977719592928,115.88371254921628,54.756869372672,1.0,10.0,0.0041,0.0038,0.0146,-0.001,0.0011,0.0047,0.151580928,4.696838144
2023-02-14 07:23:59.634526,4.0,-31.994900048708878,115.88383849854179,54.762907602047996,1.0,10.0,0.0041,0.0038,0.014717262976,-0.001,0.0012,0.0047,0.634525952,3.817262976
2023-02-14 07:24:02.161320,5.0,-31.994819921143392,115.88396515656696,54.775005135872,1.0,10.0,0.0041,0.0038,0.0146,-0.001,0.0011,0.0047,0.161319936,3.7193400320000003
2023-02-14 07:24:04.656595,6.0,-31.994743269698454,115.88409189964429,54.786093031168,1.0,10.0,0.004128297472,0.0038,0.014728297472,-0.001,0.0012,0.0047,0.656594944,3.3
2023-02-14 07:24:07.147882,7.0,-31.994665171030675,115.88421761191954,54.779332223488,1.0,10.0,0.0041,0.0038,0.0146,-0.001,0.0011,0.0047,0.14788198400000002,3.152118016
2023-02-14 07:24:09.649424,8.0,-31.99458833963466,115.88434402814114,54.815813703936,2.0,10.0,0.0048,0.0039,0.016724711936,0.0007,0.001924711936,0.0045,0.649423872,2.950576128
2023-02-14 07:24:12.146794,9.0,-31.99451146914911,115.88447108701568,54.742871487232,1.0,10.0,0.0041,0.0038,0.0146,-0.001,0.0011,0.0047,0.14679398400000002,3.3
2023-02-14 07:24:14.650516,10.0,-31.99443417692244,115.88459794717481,54.737671646208,1.0,10.0,0.004125257984,0.0038,0.014725257984,-0.001,0.0012,0.0047,0.650515968,3.125257984
2023-02-14 07:24:17.145933,11.0,-31.994356205135055,115.88472380680118,54.781918899584,2.0,10.0,0.0048,0.0039,0.0168,0.0006,0.0018,0.0046,0.145933056,2.9
2023-02-14 07:24:19.662382,12.0,-31.994278496238657,115.88485102677144,54.78345672192,2.0,10.0,0.0048,0.0039,0.016931191039999998,0.00063119104,0.0018311910399999999,0.0046,0.66238208,2.7
2023-02-14 07:24:22.137126,13.0,-31.994201488932745,115.88497610593228,54.787363468032,2.0,10.0,0.0048,0.0039,0.0168,0.0007,0.0019,0.0046,0.137125888,2.4
2023-02-14 07:24:24.626236,14.0,-31.99413447321469,115.88508571710967,54.787216153600006,2.0,10.0,0.0048,0.0039131179519999995,0.0171,0.0006,0.0017,0.0046,0.626235904,2.486882048
2023-02-14 07:24:27.160537,15.0,-31.99408539372558,115.88506751382089,54.698866841344,2.0,10.0,0.0048,0.0039,0.0169,0.0006,0.0018,0.0046,0.16053708800000002,2.3
2023-02-14 07:24:29.632871,16.0,-31.99398713738498,115.88497519362389,54.752470444032,2.0,10.0,0.004816435456,0.004,0.017667129088,0.000149306368,-0.000504161792,0.0048835645439999995,0.632870912,2.2
2023-02-14 07:24:32.155494,17.0,-31.99398116589388,115.88493253621989,54.721155771392,2.0,10.0,0.0048,0.0039,0.017,0.0006,0.0018,0.0046,0.155493888,2.3
2023-02-14 07:24:34.644975,18.0,-31.994030209013513,115.88486174536389,54.687928259328004,2.0,10.0,0.004822487552,0.003922487552,0.0171,0.0007,0.0019,0.0046,0.644975104,2.2
2023-02-14 07:24:37.161460,19.0,-31.994083843964667,115.88476562803181,54.631747292032,2.0,10.0,0.0048,0.0039,0.017,0.0007,0.0019,0.0046,0.161459968,2.2
2023-02-14 07:24:39.638118,20.0,-31.99415574632278,115.88464707800199,54.513243060992004,2.0,10.0,0.004819058944,0.003919058944,0.017119058944,0.0007,0.001919058944,0.004619058944,0.638117888,2.019058944
2023-02-14 07:24:42.123098,21.0,-31.994233862835284,115.88452166761316,54.64124079232,2.0,10.0,0.0049,0.0041,0.0183,-0.0006,-0.0022,0.0052,0.12309811200000001,2.161549056
2023-02-14 07:24:44.635216,22.0,-31.99431167454256,115.88439301615996,54.793135215872006,2.0,10.0,0.0049,0.004,0.017217607936,0.0007,0.0018,0.0047,0.635215872,2.0
2023-02-14 07:24:47.128849,23.0,-31.99438944242046,115.88426500787826,54.775166224128,2.0,10.0,0.0048,0.0041,0.0172,0.000835575552,0.002271151104,0.0047,0.12884889600000002,1.964424448
2023-02-14 07:24:49.626268,24.0,-31.99446572763923,115.88413897869714,54.711368137984,2.0,10.0,0.0049,0.004,0.017213133952,0.0008,0.002013133952,0.0047,0.626267904,1.9
2023-02-14 07:24:52.136366,25.0,-31.99454410598482,115.88401075460125,54.71200010752,2.0,10.0,0.0049,0.004,0.0173,0.0007,0.0018681830399999999,0.0047,0.13636608,1.9
2023-02-14 07:24:54.629380,26.0,-31.994620772489174,115.88388406109627,54.750714551552,2.0,10.0,0.0049,0.004,0.0176,0.0006,0.001429380096,0.0048,0.629380096,1.8
2023-02-14 07:24:57.124803,27.0,-31.99469939523183,115.88375767830712,54.745774409216,2.0,10.0,0.0049,0.004,0.0172,0.0007,0.0019,0.0047,0.124803072,1.8
2023-02-14 07:24:59.639035,28.0,-31.99477887672366,115.88362970107636,54.77140659328,2.0,10.0,0.0049,0.00401951744,0.017319517439999998,0.00071951744,0.002,0.00471951744,0.63903488,1.71951744
2023-02-14 07:25:02.122028,29.0,-31.994855779124226,115.8835047539777,54.749409967104,2.0,10.0,0.0049,0.004161014016,0.017816957952,0.00022202803200000002,-0.000755943936,0.004938985984,0.12202803200000001,1.8
2023-02-14 07:25:04.628193,30.0,-31.994911936446012,115.88339567997292,54.774622233152,2.0,10.0,0.0049,0.004,0.017444870930285714,0.0007,0.001722435465142857,0.0048,0.17948372114285713,1.6775645348571429
2023-02-14 07:25:07.126226,31.0,-31.994899306249316,115.88333613005553,54.79902317627077,2.0,10.0,0.0049,0.004,0.0174,0.0007,0.001809709686153846,0.0048,0.029129058461538463,1.6
2023-02-14 07:25:09.630216,32.0,-31.994788653313208,115.8832589705445,54.775601444608,2.0,10.0,0.0049,0.004,0.017415107968,0.0007,0.002,0.0048,0.630215936,1.6
2023-02-14 07:25:12.130046,33.0,-31.994735720344885,115.88330101341306,54.87614658761143,2.0,10.0,0.0049,0.004047853860571429,0.017863196233142857,0.0003650229759999999,0.0009950689280000006,0.004919634651428571,0.6085845577142857,1.4760730697142856
2023-02-14 07:25:14.625204,34.0,-31.99466505995202,115.88340866063429,54.91976300992,2.0,10.0,0.0049,0.004083914002285714,0.01806152701257143,0.00011260198400000001,0.00023780595200000032,0.005009785005714286,0.46434399085714284,1.4
