GPST,Sequence,latitude(deg),longitude(deg),height(m),Q,ns,sdn(m),sde(m),sdu(m),sdne(m),sdeu(m),sdun(m),age(s),ratio
2023-02-14 07:33:03.565563,1.0,-31.99429555648342,115.88520266551012,54.7359357632,2.0,21.0,0.0082,0.009,0.019,-0.0022,-0.00221721856,0.0067,0.56556288,1.0
2023-02-14 07:33:06.054791,2.0,-31.994304936295684,115.88516461281594,54.70512186368,2.0,21.0,0.0083,0.009,0.019,-0.0023,-0.002427395456,0.0067,0.054790912000000004,1.0
2023-02-14 07:33:08.552402,3.0,-31.99433973814628,115.88513208313834,54.596604583680005,2.0,21.0,0.0083,0.009,0.0191,-0.0024,-0.00267620096,0.0068,0.55240192,1.0
2023-02-14 07:33:11.055723,4.0,-31.994412356792488,115.88506037373669,54.689305580032,2.0,21.0,0.0083,0.009,0.0191,-0.002327861504,-0.0027,0.0068,0.055723008000000004,1.0
2023-02-14 07:33:13.559053,5.0,-31.994491585110353,115.8849518931157,54.806814905984,2.0,21.0,0.0083,0.009,0.0192,-0.002320473472,-0.002779526528,0.0068204734719999995,0.559053056,1.0
2023-02-14 07:33:16.050781,6.0,-31.994581624101798,115.88482882992832,54.815964878848,2.0,21.0,0.008325390464,0.009,0.0193,-0.0023746095359999998,-0.002676171392,0.006874609536,0.050780928,1.0
2023-02-14 07:33:18.537757,7.0,-31.994672075514824,115.88472129287724,54.572380562944,2.0,21.0,0.008331121536,0.009,0.019231121535999998,-0.0024688784639999998,-0.002731121536,0.006968878464,0.537756928,1.0
2023-02-14 07:33:21.033328,8.0,-31.994762434141048,115.88461323439307,54.53534949248,2.0,21.0,0.0084,0.009,0.019316664064,-0.0025,-0.003,0.007,0.033328128000000005,1.0
2023-02-14 07:33:23.526526,9.0,-31.99485506180763,115.88450196333216,54.710069252608,2.0,21.0,0.0084,0.009,0.019436737024,-0.002463262976,-0.003,0.006863262976,0.526525952,1.0
2023-02-14 07:33:26.044894,10.0,-31.994948148136906,115.88438873399663,54.71468776512,2.0,21.0,0.0084,0.009,0.0195,-0.0025,-0.0029,0.007,0.044893952,1.0
2023-02-14 07:33:28.527790,11.0,-31.995039441874127,115.88428154121279,54.70717767936,2.0,21.0,0.0085,0.009,0.0196,-0.0026,-0.003,0.0069,0.5277900799999999,1.0
2023-02-14 07:33:31.044197,12.0,-31.995131292034305,115.8841733731821,54.68975421376,2.0,21.0,0.0085,0.009,0.0197,-0.00252209856,-0.00302209856,0.007,0.04419712,1.0
2023-02-14 07:33:33.529200,13.0,-31.995202984138768,115.88407522599165,54.770185576704,2.0,21.0,0.0085,0.009,0.0197,-0.0026,-0.0031,0.0071,0.529200128,1.0
2023-02-14 07:33:36.041782,14.0,-31.99514322424407,115.88399220822745,54.566493555840005,2.0,21.0,0.0085,0.009,0.0198,-0.0026208910079999997,-0.0031208910079999997,0.0071,0.041782016000000005,1.0
2023-02-14 07:33:38.533020,15.0,-31.99506294228675,115.88386913165328,54.580634430336,2.0,21.0,0.0085,0.009,0.0198,-0.0026,-0.0032,0.0071,0.533019904,1.0
2023-02-14 07:33:41.053410,16.0,-31.9950087378838,115.88379945952204,54.648657353344,2.0,21.0,0.0086,0.009,0.0199,-0.0026,-0.003226705024,0.0071,0.053410048,1.0
2023-02-14 07:33:43.551031,17.0,-31.994934186374635,115.88389217693555,54.529023963520004,2.0,21.0,0.0086,0.009,0.0199,-0.0027,-0.0033,0.0071,0.55103104,1.0
2023-02-14 07:33:46.055049,18.0,-31.994842612185113,115.88400223231397,54.535099189120004,2.0,21.0,0.0086,0.009,0.02,-0.0027,-0.00322752448,0.0071,0.05504896,1.0
2023-02-14 07:33:48.552361,19.0,-31.994748727071553,115.88411402144676,54.5954427072,2.0,21.0,0.0086,0.009,0.02,-0.0027,-0.0034,0.0071,0.55236096,1.0
2023-02-14 07:33:51.054002,20.0,-31.994656120438123,115.88422492968621,54.60958399232,2.0,21.0,0.00862700096,0.009,0.0201,-0.0027,-0.00342700096,0.0071,0.05400192,1.0
2023-02-14 07:33:53.549659,21.0,-31.99456370589361,115.88433657867078,54.603380287360004,2.0,21.0,0.0087,0.009,0.0202,-0.0027,-0.0035,0.0071,0.54965888,1.0
